Facil ID,Building,Room,Descr,Short Desc
5F 101,5F,101,Porter Fire 101,5F 101
5G 112,5G,112,Bridge Gallery 112,5G 112
5H 006,5H,006,Hall Gallery 006,5H 006
5P 109,5P,109,Porter Prov 109,5P 109
6A 194,6A,194,Kresge Acad 194,6A 194
6B 317,6B,317,Kresge Clrm 317,6B 317
6B 319,6B,319,Kresge Clrm 319,6B 319
6B 321,6B,321,Kresge Clrm 321,6B 321
6B 323,6B,323,Kresge Clrm 323,6B 323
6B 325,6B,325,Kresge Clrm 325,6B 325
6B 327,6B,327,Kresge Clrm 327,6B 327
6C 348,6C,348,Kresge Lib 348,6C 348
6C 352,6C,352,Kresge Lib 352,6C 352
6C 356,6C,356,Kresge Lib 356,6C 356
6D 153,6D,153,Kresge Rec 153,6D 153
6D 159,6D,159,Kresge Rec 159,6D 159
6E 466,6E,466,Krsg Town Hall 466,6E 466
6F 165,6F,165,Kr Lounge 165,6F 165
6P 144,6P,144,Kresge Prov 144,6P 144
7A 101,7A,101,Oakes Acad 101,7A 101
7A 102,7A,102,Oakes Acad 102,7A 102
7A 103,7A,103,Oakes Acad 103,7A 103
7A 105,7A,105,Oakes Acad 105,7A 105
7A 106,7A,106,Oakes Acad 106,7A 106
7A 109,7A,109,Oakes Acad 109,7A 109
7A 204,7A,204,Oakes Acad 204,7A 204
7A 220,7A,220,Oakes Acad 220,7A 220
7A 222,7A,222,Oakes Acad 222,7A 222
7C 205,7C,205,Oakes Tutor 205,7C 205
7P 101,7P,101,Oakes Prov 101,7P 101
8A 101,8A,101,Eight Acad 101,8A 101
8A 201,8A,201,Eight Acad 201,8A 201
8A 208,8A,208,Eight Acad 208,8A 208
8A 226,8A,226,Eight Acad 226,8A 226
8A 240,8A,240,Eight Acad 240,8A 240
8A 242,8A,242,Eight Acad 242,8A 242
8A 301,8A,301,Eight Acad 301,8A 301
8B 250,8B,250,Eight  Acad 250,8B 250
8B 252,8B,252,Eight  Acad 252,8B 252
8C 201,8C,201,Eight Com 201,8C 201
8C 204,8C,204,Eight Com 204,8C 204
8D 101,8D,101,Eight Dining Hall 101,8D 101
8G,8G,,Eight Garden,8G
8R 101,8R,101,Eight Apt 1 101,8R 101
9A 110,9A,110,Soc Sci 1 110,9A 110
9A 123,9A,123,Soc Sci 1 123,9A 123
9A 135,9A,135,Soc Sci 1 135,9A 135
9A 145,9A,145,Soc Sci 1 145,9A 145
9A 149,9A,149,Soc Sci 1 149,9A 149
9A 153,9A,153,Soc Sci 1 153,9A 153
9A 161,9A,161,Soc Sci 1 161,9A 161
9A 239,9A,239,Soc Sci 1 239,9A 239
9A 243,9A,243,Soc Sci 1 243,9A 243
9A 261,9A,261,Soc Sci 1 261,9A 261
9A 414,9A,414,Soc Sci 1 414,9A 414
9A 439,9A,439,Soc Sci 1 439,9A 439
9A 449,9A,449,Soc Sci 1 449,9A 449
9A 451,9A,451,Soc Sci 1 451,9A 451
9A 461,9A,461,Soc Sci 1 461,9A 461
A4,A4,,AS Trailer 14,ASTrail 14
AG 103,AG,103,Agroecology 103,AG 103
AM,AM,,PE Activity Rm,AM
AR 106,AR,106,Arboretum 106,AR 106
B1 A101,B1,A101,Baskin Clay A101,B1 A101
B2 C100,B2,C100,Baskin Sculp C100,B2 C100
B3 D101,B3,D101,Baskin Multi D101,B3 D101
B4 E101,B4,E101,Baskin Paint E101,B4 E101
B4 E102,B4,E102,Baskin Paint E102,B4 E102
JB 352,JB,352,J Baskin Engr 352,JB 352
TBA,TBA,,TBA,TBA
CM 011,CM,011,Commun Bldg 011,CM 011
BY D,BY,D,Bay Tree Conf D,BY D
E2 580,E2,580,Engineer 2 580,E2 580
MC 187,MC,187,Music Center 187,MC 187
JB 312C,JB,312C,J Baskin Engr 312C,JB 312C
E2 499,E2,499,Engineer 2 499,E2 499
S2 415,S2,415,Soc Sci 2 415,S2 415
E2 218,E2,218,Engineer 2 218,E2 218
E2 280,E2,280,Engineer 2 280,E2 280
5A 127,5A,127,Porter Acad 127,5A 127
5A 120,5A,120,Porter Acad 120,5A 120
PS 140,PS,140,PhysSciences 140,PS 140
9L,9L,,Namaste Lounge,9L
PS 257,PS,257,PhysSciences 257,PS 257
9A 317,9A,317,Soc Sci 1 317,9A 317
HU 350,HU,350,Hum & Soc Sci 350,HU 350
CA 217,CA,217,Ctr Adaptive Optics 217,CA 217
H1 200,H1,200,Humanities 1 200,H1 200
JB 178,JB,178,J Baskin Engr 178,JB 178
H1 316,H1,316,Humanities 1 316,H1 316
S2 265,S2,265,Soc Sci 2 265,S2 265
JB 230,JB,230,J Baskin Engr 230,JB 230
6G 118,6G,118,KresgeAnnex A 118,6G 118
IS 229,IS,229,ISB 229,IS 229
H1 300,H1,300,Humanities 1 300,H1 300
CM 143,CM,143,Commun Bldg 143,CM 143
NS 307,NS,307,Nat Sci 2 307,MS 307
IS 467,IS,467,ISB 467,IS 467
LH,LH,,Lockheed,LH
6K,6K,,Kresge Garden,6K
ML 1257,ML,1257,McHenry Lib 1257,ML 1257
ML 3148,ML,3148,McHenry Lib 3148,ML 3148
ML 1256,ML,1256,McHenry Lib 1256,ML 1256
KZ,KZ,,KZSC,KZ
CM 117,CM,117,Commun Bldg 117,CM 117
7A 233,7A,233,Oakes Acad 233,7A 233
E2 392,E2,392,Engineer 2 392,E2 392
E2 234,E2,234,Engineer 2 234,E2 234
E2 180,E2,180,Engineer 2 180,E2 180
PS 130,PS,130,PhysSciences 130,PS 130
PS 136,PS,136,PhysSciences 136,PS 136
SL 101,SL,101,Sinsheimer Lb 101,SL 101
PS 305,PS,305,PhysSciences 305,PS 305
JB 301B,JB,301B,J Baskin Engr 301B,JB 301B
H1 402,H1,402,Humanities 1 402,H1 402
PS 441,PS,441,PhysSciences 441,PS 441
H1 545,H1,545,Humanities 1 545,H1 545
