Title,Description,Abbreviation,Item Type
OPERS Pool,OPERS Pool,50 Mtr Pool,Classroom
College Nine/Ten Multipurpose Room,College Nine/Ten Multipurpose Room,9/10 Multipurpose,Classroom
Agroecology,Agroecology,Agroecology,Classroom
Arboretum,Arboretum,Arboretum,Classroom
Barn Theater,Barn Theater,Barn Theater,Classroom
Baskin Clay,Baskin Clay,Baskin Clay,Classroom
Baskin Drawing,Baskin Drawing,Baskin Draw,Classroom
Baskin Multipurpose,Baskin Multipurpose,Baskin Multi,Classroom
Baskin Paint,Baskin Paint,Baskin Paint,Classroom
Baskin Photo,Baskin Photo,Baskin Photo,Classroom
Baskin Plaster,Baskin Plaster,Baskin Plast,Classroom
Baskin Print,Baskin Print,Baskin Print,Classroom
Baskin Sculpture,Baskin Sculpture,Baskin Sculp,Classroom
Baskin Visual Arts,Baskin Visual Arts,Baskin Visul,Classroom
Bay Tree Conference Room,Bay Tree Conference Room,Bay Tree Conf,Classroom
Bridge Gallery,Bridge Gallery,Bridge Gallery,Classroom
Cardiff House,Cardiff House,Cardiff House,Classroom
Classroom Unit,Classroom Unit,ClassroomUnit,Classroom
Communications Bldg,Communications Bldg,Commun Bldg,Classroom
Cowell Academic Building,Cowell Academic Building,Cowell Acad,Classroom
Cowell Classroom Building,Cowell Classroom Building,Cowell Clrm,Classroom
Cowell Commons Building,Cowell Commons Building,Cowell Com,Classroom
Cowell Dining Hall,Cowell Dining Hall,Cowell Din,Classroom
Cowell Press,Cowell Press,Cowell Press,Classroom
Cowell Provost House,Cowell Provost House,Cowell Prov,Classroom
Crown/Merrill Recreation Room,Crown/Merrill Recreation Room,Cr Merr Rec,Classroom
Crown/Merrill Community Room,Crown/Merrill Community Room,CR/ME Comm Rm,Classroom
Crown Classroom Building,Crown Classroom Building,Crown Clrm,Classroom
Crown Dining Hall,Crown Dining Hall,Crown Din,Classroom
Crown Faculty Wing,Crown Faculty Wing,Crown Fac Wing,Classroom
Crown Provost House ,Crown Provost House ,Crown Prov,Classroom
Crown Senior Commons Room,Crown Senior Commons Room,Crown Sr. Com,Classroom
Crown Computing Lab,Crown Computing Lab,Crwn Comp Lab,Classroom
Center for Adaptive Optics,Center for Adaptive Optics,Ctr Adaptive Optics,Classroom
East Field House Dance Studio,East Field House Dance Studio,Dance Studio,Classroom
Digital Arts Research Center,Digital Arts Research Center,Digital Arts,Classroom
East Field House,East Field House,E Fieldhouse,Classroom
East Field House Racquetball Court,East Field House Racquetball Court,E Racquet Ct,Classroom
East Field House Tennis Courts,East Field House Tennis Courts,E Tennis Ct,Classroom
Earth and Marine Sciences ,Earth and Marine Sciences ,Earth&Marine,Classroom
East Field,East Field,East Field,Classroom
East Field House Gym,East Field House Gym,East Gym,Classroom
East Remote Field (a.k.a. Lower East Field),East Remote Field (a.k.a. Lower East Field),East Remote Field,Classroom
College Eight Academic,College Eight Academic,Eight Acad,Classroom
College Eight Community Building ,College Eight Community Building ,Eight Com,Classroom
