Building Name,Rooms
50 Mtr Pool,OPERS Pool
9/10 Multipurpose,College Nine/Ten Multipurpose Room
Agroecology,Agroecology 103
Arboretum,Arboretum 106
Barn Theater,Barn Theater 021
Baskin Clay,Baskin Clay A101
Baskin Draw,Baskin Drawing F101
Baskin Multi,Baskin Multipurpose D101
Baskin Paint,"Baskin Paint 2 L101, 3 M101, E101, E102, E103, E103A"
Baskin Photo,Baskin Photo I200
Baskin Plast,Baskin Plaster H101
Baskin Print,"Baskin Print G101, G102"
Baskin Sculp,"Baskin Sculpture 2 P101, P108"
Baskin Visul,Baskin Visual Arts J101
Bay Tree Conf,"Bay Tree Conference Room A, D"
Bridge Gallery,Bridge Gallery 112
Cardiff House,Cardiff House 113
ClassroomUnit,"Classroom Unit 001, 002, 201"
Commun Bldg,"Communications Bldg 011, 113, 116, 117, 118, 119, 121, 130, 131, 137, 140, 143, 150"
Cowell Acad,"Cowell Acadermic Building 113, 216, 222, 223, 225"
Cowell Clrm,Cowell Classroom Building 131 
Cowell Com,"Cowell Commons Building 132, 133, 134, 147, 154"
Cowell Din,Cowell Dining Hall 151
Cowell Press,Cowell Press 123
Cowell Prov,Cowell Prov 119
Cr Merr Rec,Cr Merr Rec 202
CR/ME Comm Rm,CR/ME Comm Rm 110
Crown Clrm,"Crown Clrm 104, 105, 201, 202, 203, 208, 235"
Crown Din,Crown Dining Hall 108
Crown Fac Wing,Crown Faculty Wing 235
Crown Prov,Crown Provost House 104
Crown Sr. Com,Crown Senior Commons Room 302
Crwn Comp Lab,Crown Computing Lab 201
Ctr Adaptive Optics,Center for Adaptive Optics 217
Dance Studio,East Field House Dance Studio
Digital Arts,"Digital Arts 104A, 151, 206, 213, 217, 230, 308, 313, 325, 340"
E Fieldhouse,East Field House
E Racquet Ct,East Field House Racquetball Court
E Tennis Ct,East Field House Tennis Courts
Earth&Marine,"Earth and Marine Sciences A234, A332, A333, A340, A350, A402, A404, A405, B206, B210, B214, C206, C332, C360, C580, D226, D236, D250, D258, D266, D302, D318, D330, D336, D360, D366, D410, D446, D450, D480"
East Field,East Field
East Gym,East Field House Gym
East Remote Field,East Remote Field (a.k.a. Lower East Field)
Eight Acad,"College Eight Academic:
Building A: Rooms 250, 252
Building B: Rooms 201, 207, 208, 226, 240, 242, 301"
Eight Com,"College Eight Community Building Rooms 201, 204"
Eight Dining Hall,College Eight Dining Hall 101
Engineer 2,"Engineering 2 Rooms 180, 192, 194, 209, 215, 216, 218, 234, 241B, 280, 301, 308, 315, 316, 334, 375, 386, 392, 396, 397, 398, 399, 475, 481, 486, 492, 499, 506, 556, 580, 586, 598, 599"
Fitness/Wellness,Wellness Center
Gamelan Stu,Gamelan Studio 230B
Greenhouse,Greenhouse 426
Hahn Art Fac,"Hahn Art Facility 001, 003"
Hall Gallery,Hall Gallery 006
Health Ctr,Health Ctr 101
Hum & Soc Sci,"Hum & Soc Sci 250, 259, 260, 350, 359"
Humanities 1,"Humanities 1 110, 200, 245, 300, 308, 316, 345, 400, 402, 416, 420, 545, 620"
Humn Lecture,Humanities Lecture Hall 206
ISB,"Interdisciplinary Sciences Building 102, 126, 165, 221, 229, 231, 233, 235, 310, 356, 417, 429, 431, 450, 455, 467, 486"
