Name,LatLon,Item Type
ARC Blue Light Phone,"36.99437,-122.05971",Blue Light Phone
ARC Elevator,"36.99432,-122.05940",Blue Light Phone
Barn G Bus Stop,"36.98133,-122.05199",Blue Light Phone
Baskin Engineering Bus Stop,"37.00001,-122.06228",Blue Light Phone
Baytree Blue Light Phone,"36.99776,-122.05558",Blue Light Phone
Baytree Bookstore North Elevator,"36.99799,-122.05565",Blue Light Phone
Baytree Bookstore South Elevator,"36.99777,-122.05548",Blue Light Phone
College 10 R4 Elevator,"37.00035,-122.05937",Blue Light Phone
College 10 Social Sciences 2 Elevator,"37.00100,-122.05873",Blue Light Phone
College 8 Commons Elevator,"36.99117,-122.06469",Blue Light Phone
College 8 Foot Path,"36.99062,-122.06311",Blue Light Phone
College 8 Academic Elevator,"36.99184,-122.06468",Blue Light Phone
College 8 Cafe Elevator,"36.99143,-122.06438",Blue Light Phone
College 9 Apartments Elevator,"37.00261,-122.05908",Blue Light Phone
College 9 Apartment 5 Building,"37.00327,-122.05860",Blue Light Phone
College 9 DIN FR8,"37.00168,-122.05713",Blue Light Phone
College 9 DIN PAS,"37.00101,-122.05817",Blue Light Phone
College 9 R2 EL,"37.00121,-122.05735",Blue Light Phone
College 9 Social Sciences 1 Elevator,"37.00230,-122.05806",Blue Light Phone
Center for Adaptive Optics Elevator,"36.99827,-122.06046",Blue Light Phone
Chinquapin Rd Blue Light Telephone East,"37.00224,-122.05508",Blue Light Phone
Chinquapin Blue Light Telephone West,"37.00214,-122.05314",Blue Light Phone
Communications Building,"37.00092,-122.06182",Blue Light Phone
Cook House Elevator,"36.97894,-122.05447",Blue Light Phone
Core West Parking 1 East,"36.99968,-122.06363",Blue Light Phone
Core West Parking 1 North,"36.99898,-122.06365",Blue Light Phone
Core West Parking 1 West,"36.99893,-122.06419",Blue Light Phone
Core West Parking 2 East,"36.99943,-122.06311",Blue Light Phone
Core West Parking 2 North,"36.99890,-122.06312",Blue Light Phone
Core West Parking 2 West,"36.99919,-122.06407",Blue Light Phone
Core West Parking 3 East,"36.99964,-122.06347",Blue Light Phone
Core West Parking 3 North,"36.99954,-122.06323",Blue Light Phone
